"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
".layout_version"	".layout_version"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/.layout_version"
".layout_version_1"	".layout_version_1"	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"2"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/.layout_version_1"
"anr_2024-03-16-20-24-17-379"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-16-20-24-17-379"
"anr_2024-03-16-20-24-17-379_1"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-16-20-24-17-379_1"
"anr_2024-03-16-20-24-46-858"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"489517"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-16-20-24-46-858"
"anr_2024-03-16-20-24-46-858_1"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"489517"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-16-20-24-46-858_1"
"anr_2024-03-17-04-24-09-806"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"721985"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-04-24-09-806"
"anr_2024-03-17-04-24-09-806_1"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"721985"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-04-24-09-806_1"
"anr_2024-03-17-04-35-30-895"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"605828"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-04-35-30-895"
"anr_2024-03-17-04-35-30-895_1"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"605828"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-04-35-30-895_1"
"anr_2024-03-17-05-39-59-344"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"22159"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-05-39-59-344"
"anr_2024-03-17-05-39-59-344_1"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"22159"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-05-39-59-344_1"
"anr_2024-03-17-05-40-34-495"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"21985"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-05-40-34-495"
"anr_2024-03-17-05-40-34-495_1"	""	"r"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"21985"	"0"	"null"	"unknown"	"r---------"	"/LogicalFileSet1/data/anr/anr_2024-03-17-05-40-34-495_1"
